date_heure,consommation,prevision_j
2025-01-11 01:30:00+00:00,57926,58200
2025-01-11 01:45:00+00:00,57251,57550
2025-01-11 02:00:00+00:00,56554,56900
2025-01-11 02:15:00+00:00,56067,56250
2025-01-11 02:30:00+00:00,55376,55600
2025-01-11 02:45:00+00:00,55185,55350
2025-01-11 03:00:00+00:00,54784,55100
2025-01-11 03:15:00+00:00,54709,54750
2025-01-11 03:30:00+00:00,54392,54400
2025-01-11 03:45:00+00:00,54293,54550
2025-01-11 04:00:00+00:00,54401,54700
2025-01-11 04:15:00+00:00,55022,55050
2025-01-11 04:30:00+00:00,55152,55400
2025-01-11 04:45:00+00:00,55156,55600
2025-01-11 05:00:00+00:00,55511,55800
2025-01-11 05:15:00+00:00,56478,56500
2025-01-11 05:30:00+00:00,56972,57200
2025-01-11 05:45:00+00:00,57471,57800
2025-01-11 06:00:00+00:00,58074,58400
2025-01-11 06:15:00+00:00,58522,58850
2025-01-11 06:30:00+00:00,59129,59300
2025-01-11 06:45:00+00:00,59586,60200
2025-01-11 07:00:00+00:00,60860,61100
2025-01-11 07:15:00+00:00,61557,61650
2025-01-11 07:30:00+00:00,62001,62200
2025-01-11 07:45:00+00:00,62983,62850
2025-01-11 08:00:00+00:00,63397,63500
2025-01-11 08:15:00+00:00,64291,64200
2025-01-11 08:30:00+00:00,64913,64900
2025-01-11 08:45:00+00:00,65195,65300
